,index,lon,lat,DUR,SERV,OPT1,OPT2,OPT3
0,150555,-74.13538785068415,4.650752239923505,3600,3,50400,30600,27000
1,18891,-74.10265399990894,4.674600000366364,3600,1,59400,55800,52200
2,218061,-74.11037834713575,4.746587346923889,2700,3,43200,30600,41400
3,136502,-74.07352990693208,4.610001008013891,1800,1,39600,28800,30600
4,57178,-74.05904556830899,4.680443265004397,900,3,37800,46800,25200
5,4081,-74.11206619801129,4.750013002285656,2700,3,48600,45000,36000
6,181131,-74.16007292227779,4.591284983274812,1800,1,45000,39600,59400
7,72827,-74.0720399998294,4.637509000436798,900,3,46800,25200,41400
8,57130,-74.03215483355383,4.742016355097486,1800,2,46800,57600,41400
9,6394,-74.05579400025545,4.67576299981041,3600,3,55800,52200,32400
10,92019,-74.09999400031776,4.57006499988014,900,3,59400,28800,57600
11,236452,-74.16663386677004,4.600841177043861,1800,2,59400,57600,25200
12,5738,-74.07802343988338,4.616672948444618,3600,1,39600,36000,46800
13,202975,-74.09783074392588,4.584542552218302,1800,2,54000,43200,32400
14,89829,-74.05658523006949,4.65003003521263,3600,1,52200,36000,36000
15,213696,-74.10316199989705,4.5822329999248765,3600,3,27000,36000,45000
16,180119,-74.14808227903562,4.550087365191878,3600,3,34200,46800,39600
17,118641,-74.1259040002598,4.562725999744876,900,1,28800,59400,36000
18,9917,-74.1498840003566,4.567175999947593,2700,3,54000,25200,43200
19,226388,-74.12232796701383,4.705955592053118,2700,2,46800,41400,37800
20,36387,-74.16968300037263,4.633331000370909,2700,2,25200,48600,25200
21,51326,-74.07738400019952,4.610709999758684,1800,1,48600,50400,43200
22,31801,-74.06866300001272,4.739883000246552,2700,3,36000,37800,32400
23,223207,-74.09647032537814,4.7421612980806085,1800,2,52200,43200,36000
24,101195,-74.08610900956741,4.5469733142155935,1800,3,34200,34200,45000
25,39459,-74.05828584420857,4.655760921095907,2700,2,39600,25200,37800
26,102032,-74.08477205681152,4.75644063602175,1800,3,43200,41400,30600
27,269,-74.11650799968031,4.514015999988237,1800,3,52200,25200,57600
28,230446,-74.11820433783866,4.722572814371659,1800,2,30600,27000,25200
29,165724,-74.06882958000575,4.650222664394428,1800,3,25200,52200,52200
30,239891,-74.10151830121772,4.565933408087834,900,2,43200,52200,52200
31,21395,-74.11652799977179,4.577351000194424,1800,1,48600,27000,43200
32,239761,-74.11586900017096,4.7470399996950245,3600,3,41400,50400,43200
33,168894,-74.12119900029735,4.585401000344749,2700,3,34200,52200,54000
34,99588,-74.06729006613645,4.753181504943925,900,1,41400,25200,36000
35,103903,-74.07721500014509,4.60957100019323,1800,2,41400,30600,41400
36,64394,-74.1158449352028,4.652084004204802,1800,3,32400,30600,59400
37,211110,-74.11593600011811,4.5993239997607835,1800,1,59400,25200,50400
38,197660,-74.04501629644591,4.7295644241981485,900,2,34200,59400,45000
39,193759,-74.06342338477695,4.662984181437799,1800,1,37800,43200,59400
40,23294,-74.07043999969707,4.721108999971103,2700,3,36000,52200,30600
41,9600,-74.07183800016305,4.655307000293428,3600,2,52200,46800,45000
42,142533,-74.15153299999442,4.5800470001895945,2700,1,27000,41400,46800
43,60113,-74.05375533660022,4.7169083808928916,1800,1,43200,36000,32400
44,99374,-74.09842566669751,4.70507253685699,3600,3,46800,45000,48600
45,223324,-74.05254499958697,4.720418000003921,2700,3,55800,55800,39600
46,179435,-74.19161999974801,4.611580000236758,1800,3,54000,46800,55800
47,6116,-74.03398149659866,4.740647330667299,900,1,46800,30600,43200
48,43811,-74.1034498201141,4.584355620804174,1800,1,54000,25200,41400
49,102314,-74.11235025788055,4.6211347787718715,2700,3,28800,30600,54000
